Start time,End time,Transcript,English Translation,translate_claude
54.4,57.8,ฮัลโหลค่ะสวัสดีค่ะขออนุญาตสายคุณนฤมลค่ะ,"Hello, hello. May I please call you Narumon?","Hello, hello, may I speak to Miss Narumon please?"
59.2,67.4,ค่ะบริษัทในเครือธนาคารไทยพาณิชย์ค่ะมาเรียนแจ้งแคมเปญพิเศษให้รบกวนเวลาสักครู่คุณสายได้นะคะ,"Yes, it's a subsidiary of Siam Commercial Bank. I'm here to inform you of a special campaign. Please take a moment. You can be late.","The company is a subsidiary of Thai Commercial Bank. We would like to inform you about a special campaign, if you don't mind sparing some time."
71.2,71.9,ฮัลโหลค่ะ,Hello,Hello
73.4,107.6,ได้ค่ะขอบพระคุณค่ะขออนุญาตแนะนำตัวนิดนึงนะคะเจ้าหน้าที่ชื่อจิรดาคุณโตนดนะคะขออนุญาตบันทึกเสียงสนทนาเพื่อปรับปรุงการบริการนะคะพอดีว่าไทยพาณิชย์น่ะค่ะเขาจะทำแคมเปญพิเศษร่วมกับบริษัท fwd ค่ะซึ่งอยู่ในรูปแบบของออมทรัพย์พิเศษตัวโครงการตอนนี้ค่ะเราจะเข้ามาดูแลคุ้มครองในส่วนของลูกร้ายแรงต่างๆเพิ่มเติมให้ไปในตัวค่ะคุณลูกค้าอารมณ์เหมือนสั่งประจำค่ะไม่เป็นอะไรก็คือรับเงินก้อนกลับคืนไปทุกวันทุกสตางค์เลยอย่างปัจจุบันแล้วคุณลูกค้ามีการเก็บออมในรูปแบบไหนบ้างไหมคะ,"Yes, thank you. Please allow me to introduce myself a little. The officer's name is Jirada Khun Tond. I would like to ask for permission to record the conversation to improve the service. It is Siam Commercial Bank. They will be doing a special campaign together with the company FWD, which is in This is a form of special savings for the project right now. We will come in to take care of and provide additional protection for children in various serious situations. Customers feel like ordering regularly. No matter what, they will receive a lump sum money back every day for every satang. At present, do customers have any form of savings?",NA
110.7,113.2,ณปัจจุบันประกอบอาชีพอะไรอยู่มั้ยคะคุณลูกค้า,What is your current occupation?,"What profession are you currently engaged in, ma'am?"
114.4,115.3,เป็นพนักงาน,Be an employee,employee
116.5,118.3,เป็นพนักงานบริษัทอะไรแบบนี้ใช่ไหมคะ,Are you an employee of a company like this?,What kind of company employee is this?
119.2,134.9,ซึ่งในส่วนของโครงการนะคะตัวเนี้ยที่เขามาดูแลเพิ่มเติมให้นะคะคุณลูกค้าก็จะเป็นเกี่ยวกับประเด็นค่ะโรคหัวใจตับใต้สมองปอดที่เกี่ยวกับอวัยวะสำคัญในร่างกายของเรารวมไปถึงพิการทุกบทภาพค่ะคุณลูกค้าอย่างปัจจุบันแล้วมีประกันตัวไหนดูแลสุขภาพอยู่แล้วบ้างไหมคะ,"As for the project, this one that he has come to take care of additionally for the customer will be about the issue of heart disease, liver, pituitary, lungs related to important organs in our body, including all types of disabilities. As a customer, do you currently have any health care insurance?","As for the project part, this one that they come to take care of additionally for you, dear customer, it will be related to issues regarding heart disease, liver, brain, lungs, which are related to important organs in our body including all disabilities. Currently, dear customer, do you have any health insurance coverage yet?"
142.6,145.2,ก็คือเป็นทำกับธนาคารแบบนี้ใช่ไหมคะ,"That is, doing it with the bank like this, right?","It means doing it like this with the bank, right?"
145.6,205.5,เป็นประกันสุขภาพโดยตรงเลยไหมคะคุณลูกค้าแต่ว่าเป็นประกันชีวิตอย่างเดียวเป็นสุขภาพน้องซึ่งอย่างปัจจุบันคุณลูกค้าก็จะพอทราบกันดีอยู่แล้วเนาะนะคะว่าในส่วนของลูกร้ายแรงต่างๆที่จะละลายแรมแจ้งไปอย่างเช่นนะคะพบโรคมะเร็งโรคหัวใจตับไตสมองปอดที่เกี่ยวกับอวัยวะสำคัญในร่างกายของเราตรงนี้ค่ะอย่างมะเร็งเนาะตัวนี้มันก็จะเป็นภัยเงียบอะไรแบบนี้ค่ะซึ่งถ้าหากว่าเราทำประกันสุขภาพประกันมะเร็งหรือประกันโรคร้ายแรงส่วนใหญ่มันก็จะเป็นเบี้ยทิ้งเบี้ยเสียนะคะแต่ละปีอันนี้คุณลูกค้าพอทราบกันอยู่แล้วใช่ไหมคะแต่ตัวโครงการตัวนี้ค่ะที่จะตามมาเรียนแจ้งเนาะคุณลูกค้าอารมณ์เหมือนเราฝากประจำเลยค่ะคุณลูกค้าไม่ได้เป็นอะไรจบสัญญาก็คือรับเงินก้อนรวมๆตรงกับรายกลับคืนไปเลยหรือตรวจพบเจอในระหว่างสัญญาค่ะคุณลูกค้ารับเงินก้อนไปดูแลรักษาตัวเองได้เลยไม่ทับซ้อนกับประกันสุขภาพสมมติค่ะสมมุติว่าจะพาอ้อมกับโครงการตอนนี้ได้สัก 4-5 เดือนบังเอิญค่ะไปตรวจสุขภาพประจำปีตรวจเต้ยอย่างเช่นมะเร็งยุคตามกล้ามเนื้อหัวใจ,"Is it direct health insurance, sir? But it is only life insurance, it is for the health of the younger sibling. As of now, you, the customer, already know well that in the case of various serious illnesses that will be dissolved, please notify us for example. Cancer, heart disease, liver, kidneys, brain, lungs that are related to important organs in our body are found here. Like this cancer, it will be a silent danger like this. If we take out health insurance, cancer insurance or critical illness insurance. If it's big, it will be a waste of premiums. Each year, you, the customer, already know this, right? But this project that I will come to learn and inform you of, the customer is in the same mood as us with regular deposits, customers. It's not a problem. At the end of the contract, it means receiving a sum of money that matches the income back. Or it was discovered during the contract. The customer receives the lump sum to take care of themselves. It doesn't overlap with health insurance. Suppose that I'm going to take Aom with the project now for about 4-5 months. Coincidentally, I'm going for an annual health check to check for things like cancer in the heart muscle.","Is this directly health insurance for the customer or is it only life insurance? Regarding health for the child, at present the customer should be well aware that for serious illnesses such as cancer, heart disease, liver, kidney, brain, lung diseases related to vital organs in our body, like cancer, it is a silent threat. If we have health insurance, cancer insurance or critical illness insurance, it mostly involves paying premiums annually which the customer already knows, right? But for this plan, it's like we're making a fixed deposit. The customer doesn't have to do anything, at the end of the contract they receive a lump sum amount or if diagnosed during the contract period, the customer receives a lump sum to take care of themselves, not overlapping with health insurance. For example, if we enroll in this plan now and in 4-5 months during an annual health check-up, cancer, heart muscle or whatnot is detected.</translation>"
